"gene_symbol","tissue","baseMean","log2FoldChange","pvalue"
"SLC30A4","LIVER",1.51751546071078,2.7846188601441,0.042882756512703
"SLC39A4","LIVER",1.54487902000201,2.79431279290757,0.0462686722316859
"SLC25A47","LIVER",31.5090920070388,-2.8356765156576,0.0468529257856427
"ABCC5","LIVER",3.26037614955754,2.44882713529879,0.0521446265589891
"SLC18B1","LIVER",1.4367884892269,2.65512259028615,0.0555198261816526
"SLC13A1","LIVER",1.45047026887252,2.65881067586727,0.058237175719688
"SLC35C2","LIVER",1.84291523534763,2.43618288921172,0.0593885969889753
"SLC51B","LIVER",1.87027879463887,2.45003633046611,0.0599415489230816
"SLC35E1","LIVER",2.43651494857588,2.36233435465279,0.061444341074403
"SLC37A4","LIVER",8.1228340804182,-1.67338654404276,0.0616079278861022
"ABCA4","LIVER",1.07534546693962,2.79176740560671,0.0629466052930631
"SLC12A1","LIVER",1.07534546693962,2.79176740560671,0.0629466052930631
"SLC12A3","LIVER",1.07534546693962,2.79176740560671,0.0629466052930631
"SLC16A9","LIVER",1.07534546693962,2.79176740560671,0.0629466052930631
"SLC19A3","LIVER",1.07534546693962,2.79176740560671,0.0629466052930631
"SLC22A2","LIVER",1.07534546693962,2.79176740560671,0.0629466052930631
"SLC22A6","LIVER",1.07534546693962,2.79176740560671,0.0629466052930631
"SLC23A3","LIVER",1.07534546693962,2.79176740560671,0.0629466052930631
"SLC26A7","LIVER",1.07534546693962,2.79176740560671,0.0629466052930631
"SLC2A5","LIVER",1.07534546693962,2.79176740560671,0.0629466052930631
"SLC30A2","LIVER",1.07534546693962,2.79176740560671,0.0629466052930631
"SLC30A3","LIVER",1.07534546693962,2.79176740560671,0.0629466052930631
"SLC34A1","LIVER",1.07534546693962,2.79176740560671,0.0629466052930631
"SLC46A2","LIVER",1.07534546693962,2.79176740560671,0.0629466052930631
"SLC4A1","LIVER",1.07534546693962,2.79176740560671,0.0629466052930631
"SLC4A9","LIVER",1.07534546693962,2.79176740560671,0.0629466052930631
"SLC5A2","LIVER",1.07534546693962,2.79176740560671,0.0629466052930631
"SLC25A40","LIVER",1.40847121902925,2.55952956394144,0.0678323538337015
"ABCA2","LIVER",5.95306793509501,2.00574254799431,0.0731658537402212
"SLC30A6","LIVER",1.3286979584518,2.46972920973049,0.0794513315590095
"ABCF2","LIVER",2.16831500998449,2.1864622567757,0.0824925780069832
"SLC15A4","LIVER",2.68390381558268,2.11693623059398,0.0831979649654073
"SLC6A6","LIVER",2.44600327897606,2.28490164792546,0.0834596669796685
