Tissue,Gene,baseMean,log2FoldChange (HFHS/Ct),lfcSE,stat,pvalue,padj,score
LgIntestine,SLC25A51,3.962731794,0.777614372,1.118463721,0.695252208,0.486897259,NA,NA
KidneyCortex,SLC25A51,9.263615514,0.747786583,0.939863063,0.795633548,0.426245061,NA,NA
SmIntestine,SLC25A51,4.033900338,1.177715558,1.334062463,0.88280391,0.377342228,0.999951041,2.50E-05
Heart,SLC25A51,4.944918504,0.167687445,1.466956395,0.114309768,0.90899224,0.972676663,0.002017532
Lung,SLC25A51,16.370102,-0.878087733,1.010696937,-0.868794295,0.384959654,0.960541764,0.015352264
Spleen,SLC25A51,6.307588856,-0.570504693,1.057142879,-0.539666591,0.589426984,0.909291782,0.023559981
Skin,SLC25A51,13.32810097,-0.717743626,0.852197616,-0.842226746,0.399661045,0.849085104,0.050994808
WAT,SLC25A51,26.60447326,1.129764166,0.826992573,1.366111624,0.17190393,0.775044851,0.125034575
Muscle,SLC25A51,11.71571822,0.595035779,0.898853968,0.661993828,0.507975177,0.771009574,0.067203477
KidneyMedulla,SLC25A51,16.29499516,-1.64045593,1.024079104,-1.601883999,0.109181263,0.670574277,0.284706228
SmIntestine,SLC25A6,111.6866274,0.322381781,1.162822953,0.277240641,0.781595335,0.999951041,6.85E-06
LgIntestine,SLC25A6,42.19151658,-0.06065462,0.96756699,-0.062687773,0.950015134,0.986621831,0.000354786
Muscle,SLC25A6,217.8869262,-0.074877777,1.158788108,-0.064617316,0.948478697,0.981653628,0.000602146
Lung,SLC25A6,77.09970724,0.673734511,0.942022959,0.715199672,0.474485672,0.969973223,0.008920416
KidneyCortex,SLC25A6,152.8026773,-0.328560616,1.045337054,-0.314310695,0.753285076,0.957689507,0.006168815
Liver,SLC25A6,92.05935327,-0.749943024,1.251406858,-0.599279938,0.548986224,0.913774456,0.029368509
KidneyMedulla,SLC25A6,213.6988947,0.890714015,1.065938325,0.835614964,0.403371548,0.888992739,0.045517077
Skin,SLC25A6,207.7294362,0.712430551,0.926779973,0.768715954,0.442061952,0.864199585,0.045158085
WAT,SLC25A6,337.9251372,1.108141971,0.898100164,1.233873475,0.217250055,0.794127481,0.110935843
Spleen,SLC25A6,112.5424103,-1.306117874,0.940128489,-1.389297196,0.164742396,0.722085023,0.1847003
Heart,SLC25A6,44.76111906,1.404520439,1.285680058,1.092433868,0.274642443,0.622972549,0.288672617
Skin,SLC26A1,17.66930461,2.13895011,1.122477999,1.905560833,NA,NA,NA
Heart,SLC26A1,3.441697623,-0.179353935,1.616967238,-0.110919956,0.91167982,NA,NA
SmIntestine,SLC26A1,28.93947171,-1.052051175,1.323787052,-0.794728407,0.426771504,0.999951041,2.24E-05
Lung,SLC26A1,9.624898904,0.818832526,1.342814749,0.609788154,0.54200215,0.983276469,0.005997419
Muscle,SLC26A1,51.64029314,0.210406024,1.472237448,0.142915821,0.886356663,0.961742273,0.00356455
Liver,SLC26A1,9.2034914,-0.795797312,1.207547502,-0.659019467,0.509883268,0.895539657,0.03813077
Spleen,SLC26A1,13.29194148,-1.950867255,1.341939478,-1.453766945,0.146010931,0.70571813,0.29530029
WAT,SLC26A1,28.98019425,3.032106702,1.454049209,2.085284792,0.037043457,0.638272341,0.591242539
KidneyMedulla,SLC26A1,18.77845594,2.469880463,1.185437897,2.083517382,0.037204089,0.459491645,0.834133912
LgIntestine,SLC26A1,10.76365537,2.26037409,1.530681477,1.476710945,0.139753137,0.456266162,0.770294212
KidneyCortex,SLC26A1,19.16820444,-2.17552829,1.007105243,-2.160179688,0.030758762,0.424195686,0.810240165
LgIntestine,SLC26A10,0.48175352,-1.240355353,2.076498758,-0.597330169,0.550286966,NA,NA
KidneyMedulla,SLC26A10,1.188960503,-1.613287626,2.313692914,-0.697278198,0.485628709,NA,NA
Spleen,SLC26A10,0.208486866,2.177997111,2.611909915,0.833871451,0.404353426,NA,NA
Skin,SLC26A10,1.887845193,-1.554691825,1.702058515,-0.913418552,0.361022452,NA,NA
Liver,SLC26A10,0.738069906,1.659693024,1.713600995,0.968541118,0.332774194,NA,NA
Lung,SLC26A10,2.016232851,-2.536173144,2.207033805,-1.149131988,0.25050156,NA,NA
Heart,SLC26A10,0.761415799,-3.546619048,2.992853913,-1.185029123,0.236005932,NA,NA
WAT,SLC26A10,1.683180825,2.099318918,1.649179176,1.272947748,0.203036584,NA,NA
KidneyCortex,SLC26A10,1.658416382,-2.158793633,1.559973462,-1.383865614,0.166399607,NA,NA
Muscle,SLC26A10,2.388897951,-4.048721474,1.836366994,-2.204745287,0.027471973,NA,NA
SmIntestine,SLC26A10,2.423389877,2.664149746,2.07525936,1.283767127,0.199223449,0.999951041,5.66E-05
LgIntestine,SLC26A11,4.776639294,-0.280350131,1.183845258,-0.236813155,0.812801746,NA,NA
Heart,SLC26A11,1.131705508,-0.625974338,2.226626072,-0.281131325,0.778609676,NA,NA
Skin,SLC26A11,5.666580666,0.721926517,1.244943493,0.579886975,0.56199084,NA,NA
Lung,SLC26A11,4.330631311,1.157830119,1.330044177,0.870520047,0.384016269,NA,NA
Liver,SLC26A11,4.340457552,1.48232159,1.396385831,1.061541557,0.288443857,NA,NA
KidneyMedulla,SLC26A11,6.409517001,1.70672431,1.289281669,1.323779242,0.185576372,NA,NA
KidneyCortex,SLC26A11,8.592122942,-1.766639879,0.955542131,-1.84883515,0.06448162,NA,NA
SmIntestine,SLC26A11,6.038526771,0.405190224,1.35913525,0.298123549,0.765608869,0.999951041,8.62E-06
Spleen,SLC26A11,8.261209558,0.149330264,1.109619363,0.134577918,0.892945601,0.982621022,0.001136993
Muscle,SLC26A11,13.01506925,-0.749825931,1.428184798,-0.525020244,0.599569118,0.831078824,0.06025435
WAT,SLC26A11,16.58921824,1.274146179,1.097499118,1.160954171,0.245660537,0.806652284,0.118895208
SmIntestine,SLC26A2,20.35792385,2.856826888,1.133300246,2.520803202,0.011708732,0.999951041,6.07E-05
KidneyMedulla,SLC26A2,42.27548342,0.177716562,1.380370252,0.128745575,0.897558972,0.993837113,0.000477132
WAT,SLC26A2,37.15555627,-0.06499142,0.969099561,-0.067063718,0.946530978,0.989740518,0.000291074
Liver,SLC26A2,17.9197743,-0.830308199,1.454279453,-0.570941298,0.568039435,0.924051786,0.028482634
Muscle,SLC26A2,32.27068469,-0.387399094,1.205650974,-0.321319439,0.747968327,0.90318098,0.017132809
Lung,SLC26A2,28.91986826,1.335167892,1.117995871,1.194251184,0.232379727,0.891977804,0.066285682
KidneyCortex,SLC26A2,63.88190257,0.97161673,1.144963124,0.848600893,0.39610341,0.838491579,0.074329938
Spleen,SLC26A2,25.47677043,1.090947304,0.9494334,1.149050901,0.250534993,0.774284339,0.121203727
Skin,SLC26A2,56.95662213,2.21300802,1.032672465,2.142991215,0.032113804,0.344026372,1.025526205
Heart,SLC26A2,11.41943954,2.427119463,1.271714737,1.908540802,0.056321355,0.284364621,1.32550925
LgIntestine,SLC26A2,11.34062015,-2.749128751,0.987303001,-2.784483334,0.005361308,0.085135319,2.941265992
Heart,SLC26A3,5.316039831,3.14337975,2.63463837,1.193097233,NA,NA,NA
SmIntestine,SLC26A3,30.19184025,3.253590083,2.318574489,1.403271751,NA,NA,NA
Muscle,SLC26A3,30.95270764,5.941371731,1.908998375,3.112297951,NA,NA,NA
Liver,SLC26A3,34.24448957,0.705715707,2.89516095,0.243756986,NA,NA,NA
KidneyMedulla,SLC26A3,53.76120629,2.052031435,3.073521369,0.667648338,NA,NA,NA
KidneyCortex,SLC26A3,59.62610718,8.381245823,2.537068435,3.303515864,NA,NA,NA
WAT,SLC26A3,63.87028334,1.492163574,2.896644284,0.515135249,NA,NA,NA
Lung,SLC26A3,70.05010126,3.426691029,2.553242639,1.342093766,0.179565595,0.849511426,0.242715183
Skin,SLC26A3,74.25769563,3.4266138,2.897321114,1.182683474,0.236934616,0.730746695,0.466818358
LgIntestine,SLC26A3,24.96606602,-3.006895681,2.928105597,-1.026908211,0.304463687,0.629903386,0.603562314
Spleen,SLC26A3,34.75335126,7.859478474,1.749826941,4.491574733,7.07E-06,0.006688077,17.0919981
Skin,SLC26A6,6.606849237,0.036596874,1.141705164,0.032054576,0.974428528,NA,NA
Heart,SLC26A6,3.255513543,0.259052549,1.846027409,0.140329741,0.888399467,NA,NA
Spleen,SLC26A6,3.48286932,-0.73848511,1.31227079,-0.562753599,0.573602681,NA,NA
Lung,SLC26A6,4.371910794,0.669861086,1.164744859,0.57511401,0.565214194,NA,NA
LgIntestine,SLC26A6,1.409584867,0.925637358,1.526332907,0.606445261,0.544219121,NA,NA
Liver,SLC26A6,2.006589427,1.416035179,1.524674568,0.928745851,0.353020813,NA,NA
KidneyCortex,SLC26A6,4.770886561,-2.038425905,1.105823617,-1.843355373,0.065277141,NA,NA
SmIntestine,SLC26A6,8.964255399,-0.395956048,1.306498955,-0.303066487,0.761839193,0.999951041,8.42E-06
Muscle,SLC26A6,16.21823517,0.050091293,1.329087374,0.037688488,0.969936055,0.989140199,0.00023754
KidneyMedulla,SLC26A6,11.40450261,-0.573288757,1.215358458,-0.471703433,0.637138486,0.960028048,0.010156429
WAT,SLC26A6,11.91127425,2.5028063,1.121827185,2.23100878,0.025680547,0.596216736,0.562119877
Spleen,SLC26A7,1.471191076,-2.067655672,2.369530228,-0.872601517,NA,NA,NA
Lung,SLC26A7,1.778667244,3.132311029,1.956101612,1.60130282,NA,NA,NA
LgIntestine,SLC26A7,1.828975852,3.415578705,1.968546559,1.735076414,NA,NA,NA
Skin,SLC26A7,1.897405472,3.769647791,2.102810303,1.792671354,NA,NA,NA
SmIntestine,SLC26A7,2.101179302,0.499171124,2.287326911,0.218233398,NA,NA,NA
WAT,SLC26A7,3.719751357,0.162285144,1.69398376,0.095800886,NA,NA,NA
Muscle,SLC26A7,5.78752406,0.626023404,3.110497064,0.201261532,NA,NA,NA
Liver,SLC26A7,0.011487123,0.440013221,3.125224568,0.140794113,0.888032594,NA,NA
Heart,SLC26A7,0.065668711,-3.079335323,3.065705942,-1.004445756,0.315163805,NA,NA
KidneyMedulla,SLC26A7,7.400874093,4.556400598,1.735661304,2.625166896,0.00866065,NA,NA
KidneyCortex,SLC26A7,16.66998535,-4.252158225,2.615193918,-1.625943757,0.103961621,0.602351342,0.936113134
KidneyMedulla,SLC27A1,24.88258155,-0.271862141,1.540116696,-0.176520482,NA,NA,NA
Spleen,SLC27A1,3.550830663,0.034330956,1.175159131,0.029213878,0.976694013,NA,NA
LgIntestine,SLC27A1,1.735708264,-1.756336446,1.410751412,-1.244965223,0.213144534,NA,NA
Liver,SLC27A1,5.086756278,3.056802114,1.404060381,2.177115853,0.029471924,NA,NA
SmIntestine,SLC27A1,26.04020683,0.589655505,1.474229665,0.399975335,0.689174683,0.999951041,1.25E-05
KidneyCortex,SLC27A1,11.21123155,-1.18065552,0.923742737,-1.278121573,0.201206564,0.718866989,0.169248692
WAT,SLC27A1,29.51152624,2.746223061,1.198204574,2.291948405,0.021908621,0.582382767,0.644789789
Skin,SLC27A1,14.30805464,-1.779867677,1.092235231,-1.629564426,0.103193588,0.55319247,0.457646235
Lung,SLC27A1,19.11092556,-3.153600649,1.254496866,-2.513837008,0.011942561,0.348454922,1.443886768
Muscle,SLC27A1,27.57618354,-2.59211634,1.2220943,-2.121044457,0.033918061,0.202538357,1.797613804
Heart,SLC27A1,7.141341626,-4.402606975,1.477335719,-2.980099187,0.002881551,0.0550984,5.542270279
Skin,SLC27A2,5.029215048,4.290812568,3.005746178,1.427536563,NA,NA,NA
Spleen,SLC27A2,3.118307284,0.213735913,2.17553869,0.098245052,0.921737709,NA,NA
KidneyCortex,SLC27A2,6.027887264,-2.950032931,2.949157009,-1.000297008,0.317166795,NA,NA
Heart,SLC27A2,2.531243965,-2.92568105,2.804522588,-1.0432011,0.296855164,NA,NA
KidneyMedulla,SLC27A2,7.590664347,4.592126064,1.585025309,2.897194157,0.003765167,NA,NA
LgIntestine,SLC27A2,7.571152188,5.260867362,1.7413067,3.021218124,0.002517599,NA,NA
SmIntestine,SLC27A2,23.62768915,-0.173479784,1.798787787,-0.096442607,0.923169054,0.999951041,3.69E-06
Liver,SLC27A2,18.86657616,-1.304594469,2.215636784,-0.588812426,0.55598711,0.917563987,0.048744398
WAT,SLC27A2,8.226698972,1.256003725,1.58757572,0.791145713,0.428858966,0.859650342,0.082492014
Muscle,SLC27A2,32.91302492,2.682311028,3.08398437,0.869755065,0.384434272,0.683840052,0.442703275
Lung,SLC27A2,14.22791692,5.440005254,2.98178618,1.824411586,0.068089872,0.630392937,1.090115372
Lung,SLC27A3,2.36634445,1.369576323,1.523723457,0.898835229,NA,NA,NA
Skin,SLC27A3,5.068057772,1.122282569,1.351382158,0.830470169,NA,NA,NA
Heart,SLC27A3,0.84818833,-0.895742313,2.760843041,-0.324445215,0.745600993,NA,NA
LgIntestine,SLC27A3,2.870342804,0.811754278,1.496954953,0.542270344,0.587632282,NA,NA
KidneyCortex,SLC27A3,5.108077719,-1.351656354,1.167863463,-1.157375324,0.247119051,NA,NA
Liver,SLC27A3,2.251591095,3.130507936,1.779364887,1.759340065,0.078519765,NA,NA
KidneyMedulla,SLC27A3,4.020592192,4.155490152,1.605489691,2.588300738,0.009645073,NA,NA
SmIntestine,SLC27A3,3.647185105,1.31671796,1.542907865,0.853400251,0.393437382,0.999951041,2.80E-05
Spleen,SLC27A3,10.7739938,0.124027712,1.446221962,0.085759804,0.931657361,0.98892043,0.000600127
WAT,SLC27A3,6.827914931,0.314619628,1.194647,0.263357819,0.792274799,0.954238054,0.006400391
Muscle,SLC27A3,11.87596822,-1.455956684,1.333493081,-1.091836699,0.274904885,0.587113604,0.336730541
LgIntestine,SLC27A4,4.943091546,0.613668037,1.004908278,0.610670696,0.54141761,NA,NA
KidneyCortex,SLC27A4,9.996620855,-0.618752739,0.95398938,-0.648594997,0.51660019,NA,NA
SmIntestine,SLC27A4,13.94821211,0.736084248,1.300561637,0.565974135,0.571411363,0.999951041,1.57E-05
Skin,SLC27A4,16.37201394,-0.045661233,1.099350404,-0.04153474,0.966869598,0.998258065,3.46E-05
Liver,SLC27A4,10.20283961,-0.04342027,1.425440765,-0.030460943,0.975699442,0.992901664,0.000134332
Muscle,SLC27A4,25.22033621,-0.065656643,1.124278638,-0.058398907,0.953430886,0.982607941,0.000500286
Heart,SLC27A4,6.190451301,0.145983787,1.465158726,0.099636841,0.920632645,0.974857245,0.001614431
KidneyMedulla,SLC27A4,17.93034298,-0.614250166,1.483141176,-0.414154887,0.678760678,0.963417199,0.00994201
Lung,SLC27A4,9.379884013,1.236181421,1.015773003,1.2169859,0.223609581,0.890372912,0.062338232
Spleen,SLC27A4,7.154078921,-1.109841227,1.014367936,-1.094120967,0.273901928,0.784073476,0.117247221
WAT,SLC27A4,24.63934274,2.327358975,1.08329803,2.148401374,0.031681884,0.621859321,0.48015243
Heart,SLC27A5,11.74497912,-1.949008804,2.91953945,-0.66757406,NA,NA,NA
LgIntestine,SLC27A5,27.87458005,5.832494157,2.956975259,1.972452809,NA,NA,NA
Lung,SLC27A5,76.74615366,9.460997736,2.782951713,3.399626983,NA,NA,NA
SmIntestine,SLC27A5,112.6426434,-1.190584721,2.145867813,-0.554826683,NA,NA,NA
Muscle,SLC27A5,132.036175,5.52207972,1.969480868,2.803825013,NA,NA,NA
Skin,SLC27A5,0.28795896,1.089057997,3.086566964,0.352837962,0.724209922,NA,NA
KidneyMedulla,SLC27A5,1.481707204,0.670163076,1.613558822,0.415332287,0.677898668,NA,NA
KidneyCortex,SLC27A5,1.955230406,-1.588852744,1.743695542,-0.911198489,0.3621908,NA,NA
Liver,SLC27A5,116.4693929,-0.797938686,2.311644808,-0.34518222,0.729957385,0.958430636,0.014713441
WAT,SLC27A5,4.987224566,3.657016402,1.124400106,3.252415562,0.001144286,0.320114262,1.809107641
Spleen,SLC27A5,15.14377432,4.669872833,1.445369766,3.230919134,0.001233928,0.12359608,4.240222602
KidneyMedulla,SLC27A6,4.221801131,-0.000820228,1.841133838,-0.000445501,0.999644541,NA,NA
Muscle,SLC27A6,4.23933571,0.246992715,1.458700398,0.169323814,0.865541946,NA,NA
Skin,SLC27A6,2.545949229,0.386928738,1.475411661,0.262251375,0.793127647,NA,NA
Liver,SLC27A6,0.750245016,0.524412141,1.795336091,0.292096919,0.770212522,NA,NA
KidneyCortex,SLC27A6,5.87145111,-0.503265237,1.355538664,-0.371265867,0.710439518,NA,NA
WAT,SLC27A6,2.460550253,0.539245187,1.22402941,0.440549208,0.659539381,NA,NA
Heart,SLC27A6,0.83046678,-1.56757296,2.542902151,-0.616450365,0.537597321,NA,NA
Spleen,SLC27A6,3.38948004,0.88307099,1.423306711,0.620436188,0.534970654,NA,NA
Lung,SLC27A6,6.553380157,-1.461627144,1.213660643,-1.204312879,0.228468671,NA,NA
LgIntestine,SLC27A6,2.842498812,2.618374645,1.533263042,1.707713923,0.087689437,NA,NA
SmIntestine,SLC27A6,2.7389591,-0.287459274,1.569583352,-0.183143682,0.854685282,0.999951041,6.11E-06
Heart,SLC28A3,0,NA,NA,NA,NA,NA,NA
WAT,SLC28A3,0.212983322,-0.738523338,3.043838336,-0.242628963,0.808292842,NA,NA
Skin,SLC28A3,0.629251202,1.023304397,2.576870448,0.397111309,0.691285381,NA,NA
KidneyMedulla,SLC28A3,0.246538868,1.383187868,3.273117853,0.422590304,0.672594202,NA,NA
LgIntestine,SLC28A3,0.317604473,-1.552150773,2.613350841,-0.593931266,0.552558086,NA,NA
Lung,SLC28A3,0.43176005,2.34386375,3.061949858,0.765480775,0.44398531,NA,NA
KidneyCortex,SLC28A3,0.437264739,1.94964346,2.496505049,0.780949136,0.434832411,NA,NA
Spleen,SLC28A3,0.883790953,2.612711559,2.123144447,1.230585871,0.218477792,NA,NA
Muscle,SLC28A3,1.810092837,3.617978226,2.536427767,1.426406962,0.153750905,NA,NA
Liver,SLC28A3,0.894180495,-3.157420339,2.117886185,-1.490835703,0.136004636,NA,NA
SmIntestine,SLC28A3,0.385695969,1.511838641,2.478143367,0.610069079,0.541816049,0.999951041,3.21E-05
LgIntestine,SLC29A1,15.23418397,1.978415269,1.266043803,1.562675213,NA,NA,NA
KidneyMedulla,SLC29A1,29.24851726,-0.917532054,1.362966354,-0.673187604,NA,NA,NA
SmIntestine,SLC29A1,28.06675561,-0.314184699,1.345139278,-0.233570385,0.815318521,0.999951041,6.68E-06
Lung,SLC29A1,17.85838403,-1.484388442,1.302618209,-1.139542217,0.25447707,0.897784555,0.06951075
Muscle,SLC29A1,25.97056128,0.594495107,1.204748973,0.493459734,0.621687784,0.842427089,0.044270669
Liver,SLC29A1,8.69440936,0.911907219,1.019806971,0.894195907,0.371217082,0.838424846,0.069793603
WAT,SLC29A1,42.4336271,1.878534929,1.009795015,1.860313134,0.062841236,0.680671014,0.313833198
Heart,SLC29A1,8.412691312,-1.481467246,1.389230473,-1.066394147,0.286245506,0.634588656,0.292601182
Spleen,SLC29A1,12.99608998,2.473239462,1.200619524,2.059969385,0.039401468,0.545816116,0.650347332
Skin,SLC29A1,33.93473758,-2.032218014,0.985243633,-2.062655313,0.039145388,0.370638555,0.875986368
KidneyCortex,SLC29A1,18.83245025,-2.614314774,1.130309854,-2.312918679,0.020727111,0.367707502,1.135913258
Skin,SLC29A2,0.581587192,-3.471917242,2.745747972,-1.264470475,NA,NA,NA
KidneyCortex,SLC29A2,0.969343504,0.075777588,2.083450474,0.036371197,0.97098638,NA,NA
LgIntestine,SLC29A2,0.029269866,0.174075232,3.065100935,0.056792659,0.954710362,NA,NA
Liver,SLC29A2,0.141275608,0.789788945,2.820732353,0.279994287,0.779481888,NA,NA
Spleen,SLC29A2,0.2058998,2.298956108,2.969840015,0.774100994,0.43887107,NA,NA
KidneyMedulla,SLC29A2,4.524221735,2.357996514,2.22907081,1.057838317,0.290129161,NA,NA
Lung,SLC29A2,0.851914657,-3.136903191,2.589235736,-1.211517031,0.225697312,NA,NA
WAT,SLC29A2,1.142799835,2.839195674,1.931988449,1.469571764,0.141677772,NA,NA
Muscle,SLC29A2,1.123221453,-3.758739332,2.202549968,-1.706539868,0.08790761,NA,NA
Heart,SLC29A2,1.429685142,-6.145189451,2.81251207,-2.184946873,0.028892742,NA,NA
SmIntestine,SLC29A2,2.705282188,-1.56663747,1.940965276,-0.807143481,0.419583824,0.999951041,3.33E-05
Heart,SLC29A3,1.173451393,0.116214846,2.266720007,0.051270049,0.959110334,NA,NA
KidneyMedulla,SLC29A3,3.456437555,0.251237823,1.329048818,0.189035812,0.850064749,NA,NA
KidneyCortex,SLC29A3,5.507861166,0.314537582,1.037869501,0.30306082,0.761843512,NA,NA
Muscle,SLC29A3,7.740314477,-0.377747263,1.099940278,-0.343425249,0.731278568,NA,NA
Spleen,SLC29A3,3.001951281,-0.482091445,1.233008648,-0.390987886,0.69580619,NA,NA
LgIntestine,SLC29A3,0.428390961,-1.004317153,1.916300411,-0.524091707,0.600214756,NA,NA
Lung,SLC29A3,4.418876904,0.758895161,1.21790898,0.6231132,0.533210136,NA,NA
Liver,SLC29A3,1.371926368,-2.35920613,1.433025693,-1.646311117,0.099699722,NA,NA
Skin,SLC29A3,2.710782443,2.09240699,1.255563054,1.666508889,0.095612099,NA,NA
SmIntestine,SLC29A3,2.476502965,1.243933914,1.436910652,0.865700253,0.386654561,0.999951041,2.65E-05
WAT,SLC29A3,12.10856373,1.253895179,1.014022707,1.236555326,0.216252214,0.793406952,0.126021479
KidneyMedulla,SLC2A1,23.79656023,0.054191046,1.302556897,0.041603592,NA,NA,NA
SmIntestine,SLC2A1,16.31057147,0.005192849,1.228908713,0.004225577,0.996628487,0.999951041,1.10E-07
Skin,SLC2A1,35.8265548,0.08959368,1.135046228,0.078933948,0.937085161,0.992248352,0.000302792
Lung,SLC2A1,24.17991017,-0.687805799,1.095690394,-0.627737363,0.530176005,0.979627409,0.006148346
WAT,SLC2A1,12.50071231,-0.281113242,1.075273725,-0.261434122,0.793757746,0.954459881,0.005690385
KidneyCortex,SLC2A1,22.9305447,0.707690034,1.138313126,0.621700671,0.53413871,0.894666303,0.034208972
Liver,SLC2A1,25.80923775,1.337265039,1.401232408,0.954349208,0.339906907,0.820013552,0.115244124
Muscle,SLC2A1,13.44332883,0.803873144,1.269624548,0.633158161,0.526630365,0.784333937,0.084807807
Spleen,SLC2A1,13.10826029,1.185854576,1.045870874,1.133844153,0.256859927,0.779459526,0.128317091
Heart,SLC2A1,6.949011754,1.880365688,1.479131793,1.271263113,0.20363506,0.542972746,0.49871429
LgIntestine,SLC2A1,12.12061476,-3.385676164,1.079602575,-3.136039355,0.001712462,0.044486834,4.576650385
Liver,SLC2A10,0.833088718,-0.303235555,1.548189983,-0.195864563,0.844716174,NA,NA
Heart,SLC2A10,0.657715065,-0.995698017,2.972983986,-0.334915365,0.737688931,NA,NA
LgIntestine,SLC2A10,1.500121011,0.631378328,1.778278897,0.355050228,0.722551963,NA,NA
Spleen,SLC2A10,0.346680901,1.149403332,2.341467648,0.490890119,0.623504166,NA,NA
KidneyMedulla,SLC2A10,0.362130789,-1.198384129,2.429620194,-0.493239286,0.621843522,NA,NA
KidneyCortex,SLC2A10,3.295147616,-0.992583839,1.294033452,-0.767046507,0.443053865,NA,NA
WAT,SLC2A10,1.727421768,1.191595242,1.452903161,0.820147738,0.412131891,NA,NA
Skin,SLC2A10,1.141117924,1.517403542,1.787997895,0.848660698,0.396070121,NA,NA
Muscle,SLC2A10,3.148645619,1.776336241,1.807151828,0.982947981,0.325633041,NA,NA
Lung,SLC2A10,1.891504065,1.566804253,1.557981163,1.005663155,0.314577633,NA,NA
SmIntestine,SLC2A10,0.626184613,-0.161215686,1.842403287,-0.08750293,0.930271757,0.999951041,3.43E-06
LgIntestine,SLC2A11,4.195128823,2.482025365,1.584588805,1.566352959,NA,NA,NA
Skin,SLC2A11,13.04944218,1.790915068,1.229748914,1.456325797,NA,NA,NA
Muscle,SLC2A11,23.2406076,-0.897064692,1.369316731,-0.655118478,NA,NA,NA
Heart,SLC2A11,1.456973648,-1.303167984,2.161836876,-0.602805882,0.546637834,NA,NA
Lung,SLC2A11,8.935190558,1.706310032,1.286931203,1.325875096,0.184881073,NA,NA
Liver,SLC2A11,3.692006809,1.818342962,1.0731462,1.694403765,0.090188585,NA,NA
SmIntestine,SLC2A11,13.84959959,0.334432215,1.310478742,0.255198504,0.798569786,0.999951041,7.11E-06
WAT,SLC2A11,25.69421378,1.630505328,1.067998691,1.526692253,0.126837555,0.751514303,0.202284974
Spleen,SLC2A11,8.420797052,-2.871061351,1.276069791,-2.249925022,0.024453705,0.460616917,0.966571846
KidneyMedulla,SLC2A11,18.87743976,2.789611367,1.170700302,2.382856964,0.017178868,0.342292314,1.29885101
KidneyCortex,SLC2A11,15.06862662,-2.783794185,1.073170294,-2.593991093,0.009486894,0.292585555,1.485842126
KidneyMedulla,SLC2A12,2.406408857,-0.297920578,1.669731679,-0.178424223,0.858389827,NA,NA
Muscle,SLC2A12,1.738548057,-0.521765459,1.599002713,-0.3263068,0.744192244,NA,NA
Lung,SLC2A12,1.63299392,-0.545061961,1.424709217,-0.38257769,0.702032915,NA,NA
Skin,SLC2A12,1.427742189,-0.976321415,1.831779533,-0.532990678,0.594040033,NA,NA
Heart,SLC2A12,0.84248219,-1.633147177,2.963371271,-0.551111227,0.58155743,NA,NA
KidneyCortex,SLC2A12,3.516257054,0.621350866,1.067133679,0.582261509,0.560390548,NA,NA
Spleen,SLC2A12,2.963533616,1.393402738,1.725219317,0.807667016,0.419282296,NA,NA
LgIntestine,SLC2A12,2.724309987,-1.701452223,1.404551269,-1.211384918,0.225747917,NA,NA
Liver,SLC2A12,1.643498032,2.80457698,1.500598218,1.868972618,0.061626624,NA,NA
SmIntestine,SLC2A12,3.070935705,-2.264643318,1.516315135,-1.493517585,0.135301755,0.999951041,4.82E-05
WAT,SLC2A12,6.101914273,1.644705628,1.125073381,1.461865203,0.143778152,0.756228309,0.199580208
KidneyMedulla,SLC2A13,4.256584983,-0.215379467,1.349882507,-0.159554232,0.873232234,NA,NA
Heart,SLC2A13,0.438922783,-1.159970038,2.987547945,-0.388268258,0.697817524,NA,NA
Muscle,SLC2A13,3.650395367,0.474419443,1.218526687,0.389338574,0.697025705,NA,NA
Liver,SLC2A13,1.917704026,-1.430699662,1.671963677,-0.855700206,0.392163626,NA,NA
Lung,SLC2A13,3.715632322,1.423736139,1.335257028,1.06626373,0.28630444,NA,NA
KidneyCortex,SLC2A13,5.571105373,1.256334261,1.122620124,1.119108979,0.26309365,NA,NA
Skin,SLC2A13,5.831402807,1.566885473,1.258122034,1.245416128,0.212978828,NA,NA
LgIntestine,SLC2A13,4.615665237,-1.341083824,1.058480955,-1.266989091,0.20515919,NA,NA
SmIntestine,SLC2A13,1.67446814,-0.129983462,1.439569489,-0.090293287,0.928054154,0.999951041,2.76E-06
WAT,SLC2A13,4.885155058,-0.725412685,1.100198096,-0.659347338,0.509672751,0.879175082,0.040568435
Spleen,SLC2A13,6.358476513,1.890939176,1.067300381,1.771702897,0.076443889,0.632500746,0.37618147
Heart,SLC2A2,3.286074248,-1.734192256,2.711993621,-0.639452926,NA,NA,NA
Skin,SLC2A2,3.550789861,1.294376371,2.960908117,0.437155197,NA,NA,NA
SmIntestine,SLC2A2,35.5450211,1.32442822,1.875210867,0.706282287,NA,NA,NA
Muscle,SLC2A2,57.71526239,5.459714794,1.811109503,3.014569128,NA,NA,NA
KidneyMedulla,SLC2A2,6.971378698,0.545547576,1.688794315,0.323039681,0.746665191,NA,NA
Spleen,SLC2A2,2.878576517,0.700927527,2.000127495,0.350441424,0.726007443,NA,NA
KidneyCortex,SLC2A2,2.444397996,-1.93268255,2.982054964,-0.648104268,0.516917514,NA,NA
