"gene_tissue","gene_Symbol","tissue","1_Chow","1_HF","2_Chow","2_HF","3_Chow","3_HF","4_Chow","4_HF","5_Chow","5_HF"
"SLC29A3_HEART","SLC29A3","HEART",1,2,0,2,1,2,0,2,1,1
"SLC29A3_KIDNEY-CORTEX","SLC29A3","KIDNEY-CORTEX",0,3,2,4,3,3,1,5,1,3
"SLC29A3_KIDNEY-MED","SLC29A3","KIDNEY-MED",0,1,1,1,NA,2,1,1,1,7
"SLC29A3_LARGE","SLC29A3","LARGE",1,1,1,1,1,2,1,1,1,1
"SLC29A3_LIVER","SLC29A3","LIVER",0,1,0,1,2,1,1,1,1,2
"SLC29A3_LUNG","SLC29A3","LUNG",0,4,1,1,1,3,0,1,1,1
"SLC29A3_MUSCLE","SLC29A3","MUSCLE",0,2,1,2,1,3,1,4,2,1
"SLC29A3_SKIN","SLC29A3","SKIN",0,1,1,3,1,3,0,2,2,1
"SLC29A3_SMALL","SLC29A3","SMALL",0,1,0,1,1,1,1,1,1,1
"SLC29A3_SPLEEN","SLC29A3","SPLEEN",1,1,0,6,1,1,1,1,0,1
"SLC29A3_WAT","SLC29A3","WAT",0,1,0,4,2,2,0,1,2,2
"SLC2A1_HEART","SLC2A1","HEART",4,4,2,8,1,13,2,3,1,1
"SLC2A1_KIDNEY-CORTEX","SLC2A1","KIDNEY-CORTEX",0,8,3,9,7,5,2,21,3,3
"SLC2A1_KIDNEY-MED","SLC2A1","KIDNEY-MED",2,1,3,2,NA,8,1,1,1,12
"SLC2A1_LARGE","SLC2A1","LARGE",2,4,4,1,1,5,2,2,3,1
"SLC2A1_LIVER","SLC2A1","LIVER",12,2,12,6,6,4,15,5,1,6
"SLC2A1_LUNG","SLC2A1","LUNG",3,10,5,2,3,16,3,3,3,2
"SLC2A1_MUSCLE","SLC2A1","MUSCLE",1,10,1,3,0,4,2,7,2,3
"SLC2A1_SKIN","SLC2A1","SKIN",3,6,5,3,3,6,2,6,3,5
"SLC2A1_SMALL","SLC2A1","SMALL",2,2,1,2,2,2,2,2,2,3
"SLC2A1_SPLEEN","SLC2A1","SPLEEN",2,4,5,22,1,1,5,1,2,4
"SLC2A1_WAT","SLC2A1","WAT",4,1,3,10,4,3,3,1,7,3
"SLC2A11_HEART","SLC2A11","HEART",4,1,2,2,1,5,1,2,2,1
"SLC2A11_KIDNEY-CORTEX","SLC2A11","KIDNEY-CORTEX",1,17,1,4,7,2,1,5,2,1
"SLC2A11_KIDNEY-MED","SLC2A11","KIDNEY-MED",1,1,4,2,NA,2,2,2,1,26
"SLC2A11_LARGE","SLC2A11","LARGE",1,2,2,1,1,13,1,1,1,1
"SLC2A11_LIVER","SLC2A11","LIVER",3,3,3,2,1,1,2,3,1,4
"SLC2A11_LUNG","SLC2A11","LUNG",2,21,1,1,1,5,1,1,2,1
"SLC2A11_MUSCLE","SLC2A11","MUSCLE",2,3,1,3,1,2,3,16,1,1
"SLC2A11_SKIN","SLC2A11","SKIN",3,1,2,2,0,15,2,3,3,2
"SLC2A11_SMALL","SLC2A11","SMALL",1,1,1,2,4,3,1,2,2,4
"SLC2A11_SPLEEN","SLC2A11","SPLEEN",1,2,3,7,1,1,5,1,1,1
"SLC2A11_WAT","SLC2A11","WAT",3,1,3,19,6,3,1,1,4,6
"SLC2A12_HEART","SLC2A12","HEART",2,2,2,3,1,1,1,1,1,1
"SLC2A12_KIDNEY-CORTEX","SLC2A12","KIDNEY-CORTEX",1,3,1,3,2,1,1,4,2,3
"SLC2A12_KIDNEY-MED","SLC2A12","KIDNEY-MED",1,1,1,1,NA,1,1,1,1,5
"SLC2A12_LARGE","SLC2A12","LARGE",1,1,1,1,1,2,1,1,1,1
"SLC2A12_LIVER","SLC2A12","LIVER",1,2,0,2,1,1,1,2,1,2
"SLC2A12_LUNG","SLC2A12","LUNG",2,3,1,1,0,3,1,2,1,1
"SLC2A12_MUSCLE","SLC2A12","MUSCLE",2,1,1,1,1,2,1,3,1,1
"SLC2A12_SKIN","SLC2A12","SKIN",2,1,2,2,0,1,1,1,2,1
"SLC2A12_SMALL","SLC2A12","SMALL",1,1,1,1,1,1,1,1,1,1
"SLC2A12_SPLEEN","SLC2A12","SPLEEN",1,1,0,6,1,2,1,1,1,1
"SLC2A12_WAT","SLC2A12","WAT",2,1,2,3,2,1,1,1,2,3
"SLC2A13_HEART","SLC2A13","HEART",1,1,0,1,1,3,1,1,0,1
"SLC2A13_KIDNEY-CORTEX","SLC2A13","KIDNEY-CORTEX",0,3,1,4,2,2,1,9,1,1
"SLC2A13_KIDNEY-MED","SLC2A13","KIDNEY-MED",1,1,1,1,NA,2,1,1,1,6
"SLC2A13_LARGE","SLC2A13","LARGE",1,2,1,1,1,3,1,1,1,1
"SLC2A13_LIVER","SLC2A13","LIVER",0,1,0,1,0,1,2,2,1,1
"SLC2A13_LUNG","SLC2A13","LUNG",0,5,0,1,2,8,0,2,1,1
"SLC2A13_MUSCLE","SLC2A13","MUSCLE",0,1,1,2,0,2,1,4,1,1
"SLC2A13_SKIN","SLC2A13","SKIN",0,2,1,1,1,3,1,2,1,2
"SLC2A13_SMALL","SLC2A13","SMALL",0,1,0,1,1,1,1,1,1,1
"SLC2A13_SPLEEN","SLC2A13","SPLEEN",1,2,0,12,1,1,1,1,1,2
"SLC2A13_WAT","SLC2A13","WAT",0,1,0,4,2,1,0,1,4,2
"SLC2A2_HEART","SLC2A2","HEART",0,1,0,1,1,2,1,6,0,1
"SLC2A2_KIDNEY-CORTEX","SLC2A2","KIDNEY-CORTEX",0,8,1,2,3,0,0,0,0,1
"SLC2A2_KIDNEY-MED","SLC2A2","KIDNEY-MED",0,1,1,1,NA,0,1,1,1,13
"SLC2A2_LARGE","SLC2A2","LARGE",1,7,1,1,1,9,1,6,1,1
"SLC2A2_LIVER","SLC2A2","LIVER",0,1,0,1,13,6,0,3,1,1
"SLC2A2_LUNG","SLC2A2","LUNG",0,12,1,5,1,2,0,0,0,1
"SLC2A2_MUSCLE","SLC2A2","MUSCLE",0,1,1,3,0,1,1,9,1,12
"SLC2A2_SKIN","SLC2A2","SKIN",0,1,0,1,0,7,1,1,0,1
"SLC2A2_SMALL","SLC2A2","SMALL",0,4,0,2,2,0,1,1,1,2
"SLC2A2_SPLEEN","SLC2A2","SPLEEN",0,3,0,1,1,1,1,1,1,1
"SLC2A2_WAT","SLC2A2","WAT",0,1,0,6,3,4,0,1,1,2
"SLC2A3_HEART","SLC2A3","HEART",3,10,1,4,1,17,1,3,5,1
"SLC2A3_KIDNEY-CORTEX","SLC2A3","KIDNEY-CORTEX",1,5,4,10,5,10,3,13,6,7
"SLC2A3_KIDNEY-MED","SLC2A3","KIDNEY-MED",1,1,1,6,NA,4,1,1,1,6
"SLC2A3_LARGE","SLC2A3","LARGE",1,7,1,1,1,3,1,2,3,1
"SLC2A3_LIVER","SLC2A3","LIVER",0,6,0,1,3,2,4,5,1,16
"SLC2A3_LUNG","SLC2A3","LUNG",0,4,1,2,3,13,1,6,6,3
"SLC2A3_MUSCLE","SLC2A3","MUSCLE",0,14,1,4,0,5,1,4,3,4
"SLC2A3_SKIN","SLC2A3","SKIN",0,3,1,5,3,4,1,10,7,4
"SLC2A3_SMALL","SLC2A3","SMALL",1,2,0,3,1,7,1,4,4,1
"SLC2A3_SPLEEN","SLC2A3","SPLEEN",1,10,0,28,1,4,1,1,1,4
"SLC2A3_WAT","SLC2A3","WAT",0,1,0,5,2,4,0,1,7,14
"SLC2A4_HEART","SLC2A4","HEART",3,1,1,5,1,1,1,1,3,1
"SLC2A4_KIDNEY-CORTEX","SLC2A4","KIDNEY-CORTEX",4,2,0,6,2,8,1,4,7,2
"SLC2A4_KIDNEY-MED","SLC2A4","KIDNEY-MED",0,1,1,1,NA,1,1,9,1,3
"SLC2A4_LARGE","SLC2A4","LARGE",1,2,1,1,1,2,1,1,3,1
"SLC2A4_LIVER","SLC2A4","LIVER",0,9,0,1,1,1,1,4,1,20
"SLC2A4_LUNG","SLC2A4","LUNG",0,3,0,1,0,4,1,0,6,3
"SLC2A4_MUSCLE","SLC2A4","MUSCLE",0,1,1,1,4,1,1,2,2,2
"SLC2A4_SKIN","SLC2A4","SKIN",0,1,1,1,1,2,1,1,7,3
"SLC2A4_SMALL","SLC2A4","SMALL",1,1,0,1,1,7,1,3,3,1
"SLC2A4_SPLEEN","SLC2A4","SPLEEN",0,3,0,15,1,3,1,1,2,1
"SLC2A4_WAT","SLC2A4","WAT",0,1,0,3,2,1,0,1,3,13
"SLC2A4RG_HEART","SLC2A4RG","HEART",4,3,4,4,1,3,3,2,1,1
"SLC2A4RG_KIDNEY-CORTEX","SLC2A4RG","KIDNEY-CORTEX",0,8,1,4,5,3,2,5,3,4
"SLC2A4RG_KIDNEY-MED","SLC2A4RG","KIDNEY-MED",1,1,3,1,NA,2,1,1,1,16
"SLC2A4RG_LARGE","SLC2A4RG","LARGE",1,2,2,1,1,7,1,1,0,1
"SLC2A4RG_LIVER","SLC2A4RG","LIVER",22,2,33,1,4,2,1,2,1,5
"SLC2A4RG_LUNG","SLC2A4RG","LUNG",3,10,2,2,1,6,2,2,3,1
"SLC2A4RG_MUSCLE","SLC2A4RG","MUSCLE",3,3,1,2,1,5,3,8,3,4
"SLC2A4RG_SKIN","SLC2A4RG","SKIN",3,1,3,2,1,8,3,2,4,2
"SLC2A4RG_SMALL","SLC2A4RG","SMALL",1,2,1,2,3,2,1,2,2,3
"SLC2A4RG_SPLEEN","SLC2A4RG","SPLEEN",1,3,2,10,1,2,3,1,1,1
"SLC2A4RG_WAT","SLC2A4RG","WAT",4,1,5,10,3,2,1,1,3,6
"SLC2A5_HEART","SLC2A5","HEART",1,1,0,5,1,1,0,1,0,1
"SLC2A5_KIDNEY-CORTEX","SLC2A5","KIDNEY-CORTEX",1,6,0,1,3,5,2,1,0,2
"SLC2A5_KIDNEY-MED","SLC2A5","KIDNEY-MED",0,1,1,1,NA,2,1,1,1,13
"SLC2A5_LARGE","SLC2A5","LARGE",1,3,1,1,1,7,1,1,2,1
"SLC2A5_LIVER","SLC2A5","LIVER",0,1,0,1,0,1,0,1,1,1
"SLC2A5_LUNG","SLC2A5","LUNG",0,11,0,1,0,4,1,1,0,1
"SLC2A5_MUSCLE","SLC2A5","MUSCLE",0,1,1,2,1,2,1,9,3,1
"SLC2A5_SKIN","SLC2A5","SKIN",0,1,1,2,0,7,1,1,0,1
"SLC2A5_SMALL","SLC2A5","SMALL",0,1,0,1,2,0,0,4,1,2
"SLC2A5_SPLEEN","SLC2A5","SPLEEN",0,2,0,1,1,2,2,1,1,1
"SLC2A5_WAT","SLC2A5","WAT",0,1,0,8,2,1,0,1,2,1
"SLC2A6_HEART","SLC2A6","HEART",1,3,1,1,1,7,1,3,1,1
"SLC2A6_KIDNEY-CORTEX","SLC2A6","KIDNEY-CORTEX",1,3,0,4,2,1,1,10,1,2
"SLC2A6_KIDNEY-MED","SLC2A6","KIDNEY-MED",2,1,1,1,NA,2,1,1,1,2
"SLC2A6_LARGE","SLC2A6","LARGE",1,4,2,1,1,1,2,1,1,1
"SLC2A6_LIVER","SLC2A6","LIVER",2,1,3,1,1,1,5,5,1,1
"SLC2A6_LUNG","SLC2A6","LUNG",2,3,3,1,1,11,1,1,1,2
"SLC2A6_MUSCLE","SLC2A6","MUSCLE",1,5,1,5,1,3,1,2,1,1
"SLC2A6_SKIN","SLC2A6","SKIN",1,2,1,2,1,1,1,3,1,2
"SLC2A6_SMALL","SLC2A6","SMALL",1,1,3,3,1,1,2,1,1,1
"SLC2A6_SPLEEN","SLC2A6","SPLEEN",2,1,2,9,1,1,2,1,1,1
"SLC2A6_WAT","SLC2A6","WAT",1,1,1,2,2,4,2,1,5,1
"SLC2A8_HEART","SLC2A8","HEART",1,1,1,2,1,3,1,1,0,1
"SLC2A8_KIDNEY-CORTEX","SLC2A8","KIDNEY-CORTEX",0,3,1,3,2,1,1,3,1,1
"SLC2A8_KIDNEY-MED","SLC2A8","KIDNEY-MED",1,1,1,1,NA,0,0,1,1,2
"SLC2A8_LARGE","SLC2A8","LARGE",1,1,1,1,1,1,1,1,1,1
"SLC2A8_LIVER","SLC2A8","LIVER",0,1,0,1,1,1,0,1,1,1
"SLC2A8_LUNG","SLC2A8","LUNG",0,2,0,1,1,2,1,1,1,1
"SLC2A8_MUSCLE","SLC2A8","MUSCLE",0,3,1,1,0,1,1,1,1,1
"SLC2A8_SKIN","SLC2A8","SKIN",0,1,0,1,1,2,1,1,2,1
"SLC2A8_SMALL","SLC2A8","SMALL",1,1,0,1,1,0,0,1,1,1
"SLC2A8_SPLEEN","SLC2A8","SPLEEN",0,2,0,4,1,1,1,1,1,2
"SLC2A8_WAT","SLC2A8","WAT",0,1,0,2,1,1,0,1,2,1
"SLC30A1_HEART","SLC30A1","HEART",1,3,0,2,1,6,1,2,1,1
"SLC30A1_KIDNEY-CORTEX","SLC30A1","KIDNEY-CORTEX",1,6,1,3,4,1,1,6,2,2
"SLC30A1_KIDNEY-MED","SLC30A1","KIDNEY-MED",1,1,1,2,NA,1,1,1,1,13
"SLC30A1_LARGE","SLC30A1","LARGE",1,3,1,1,1,5,1,4,1,1
"SLC30A1_LIVER","SLC30A1","LIVER",0,3,0,2,4,3,1,3,1,4
"SLC30A1_LUNG","SLC30A1","LUNG",0,8,1,3,2,6,1,0,2,1
"SLC30A1_MUSCLE","SLC30A1","MUSCLE",0,7,1,2,0,1,1,9,1,4
"SLC30A1_SKIN","SLC30A1","SKIN",0,1,0,2,1,6,1,4,3,1
"SLC30A1_SMALL","SLC30A1","SMALL",1,3,0,2,2,2,1,1,2,2
"SLC30A1_SPLEEN","SLC30A1","SPLEEN",1,2,0,8,1,1,2,1,1,2
"SLC30A1_WAT","SLC30A1","WAT",0,1,0,8,3,3,0,1,3,5
"SLC30A10_HEART","SLC30A10","HEART",0,1,0,1,1,1,1,1,0,1
"SLC30A10_KIDNEY-CORTEX","SLC30A10","KIDNEY-CORTEX",0,0,0,1,0,0,0,11,1,1
"SLC30A10_KIDNEY-MED","SLC30A10","KIDNEY-MED",0,1,1,1,NA,3,0,1,1,1
"SLC30A10_LARGE","SLC30A10","LARGE",1,1,1,1,1,0,0,1,1,1
"SLC30A10_LIVER","SLC30A10","LIVER",0,1,0,1,3,1,1,1,1,1
"SLC30A10_LUNG","SLC30A10","LUNG",0,1,0,1,1,3,0,1,0,1
"SLC30A10_MUSCLE","SLC30A10","MUSCLE",0,1,1,1,0,1,0,1,0,3
"SLC30A10_SKIN","SLC30A10","SKIN",0,4,0,1,0,1,0,1,0,1
"SLC30A10_SMALL","SLC30A10","SMALL",0,1,0,1,0,0,1,1,0,1
"SLC30A10_SPLEEN","SLC30A10","SPLEEN",0,1,0,6,1,1,0,1,0,1
"SLC30A10_WAT","SLC30A10","WAT",0,1,0,1,0,1,0,1,2,1
"SLC30A2_HEART","SLC30A2","HEART",1,1,1,1,1,1,0,0,0,1
"SLC30A2_KIDNEY-CORTEX","SLC30A2","KIDNEY-CORTEX",0,4,0,1,3,1,1,0,0,1
"SLC30A2_KIDNEY-MED","SLC30A2","KIDNEY-MED",0,1,1,1,NA,1,0,1,1,8
"SLC30A2_LARGE","SLC30A2","LARGE",1,1,1,1,1,4,1,1,1,1
"SLC30A2_LIVER","SLC30A2","LIVER",0,1,0,1,0,1,0,1,1,1
"SLC30A2_LUNG","SLC30A2","LUNG",0,5,0,1,0,0,0,1,0,1
"SLC30A2_MUSCLE","SLC30A2","MUSCLE",0,1,1,1,0,1,1,6,1,1
"SLC30A2_SKIN","SLC30A2","SKIN",0,1,0,1,0,6,0,1,0,1
"SLC30A2_SMALL","SLC30A2","SMALL",0,1,0,1,2,0,0,1,0,1
"SLC30A2_SPLEEN","SLC30A2","SPLEEN",0,1,0,0,1,1,2,1,1,1
"SLC30A2_WAT","SLC30A2","WAT",0,1,0,5,2,1,0,1,0,1
"SLC30A3_HEART","SLC30A3","HEART",1,3,0,1,1,0,0,0,1,1
"SLC30A3_KIDNEY-CORTEX","SLC30A3","KIDNEY-CORTEX",0,2,0,3,5,0,0,1,1,3
"SLC30A3_KIDNEY-MED","SLC30A3","KIDNEY-MED",0,1,1,1,NA,0,0,1,1,4
"SLC30A3_LARGE","SLC30A3","LARGE",1,1,1,1,1,1,1,1,1,1
"SLC30A3_LIVER","SLC30A3","LIVER",0,1,0,1,0,1,0,1,1,1
"SLC30A3_LUNG","SLC30A3","LUNG",0,2,0,1,0,0,0,1,1,1
"SLC30A3_MUSCLE","SLC30A3","MUSCLE",0,1,1,1,1,4,1,2,0,1
"SLC30A3_SKIN","SLC30A3","SKIN",0,1,0,3,0,2,0,1,2,1
"SLC30A3_SMALL","SLC30A3","SMALL",1,1,0,1,1,1,0,1,1,1
"SLC30A3_SPLEEN","SLC30A3","SPLEEN",1,1,0,2,1,1,1,1,0,1
"SLC30A3_WAT","SLC30A3","WAT",0,1,0,5,3,1,0,1,0,1
"SLC30A4_HEART","SLC30A4","HEART",1,3,0,2,1,2,0,4,0,1
"SLC30A4_KIDNEY-CORTEX","SLC30A4","KIDNEY-CORTEX",0,5,1,4,2,3,1,10,1,1
"SLC30A4_KIDNEY-MED","SLC30A4","KIDNEY-MED",0,1,1,1,NA,2,1,1,1,7
"SLC30A4_LARGE","SLC30A4","LARGE",1,6,1,1,1,3,1,1,1,1
"SLC30A4_LIVER","SLC30A4","LIVER",0,1,0,1,0,1,1,3,1,3
"SLC30A4_LUNG","SLC30A4","LUNG",0,6,1,1,1,8,1,1,1,1
"SLC30A4_MUSCLE","SLC30A4","MUSCLE",0,1,1,2,0,1,1,5,1,1
"SLC30A4_SKIN","SLC30A4","SKIN",0,3,0,1,1,2,1,1,2,1
"SLC30A4_SMALL","SLC30A4","SMALL",0,1,0,2,2,1,0,2,1,1
"SLC30A4_SPLEEN","SLC30A4","SPLEEN",1,2,0,9,1,1,1,1,0,1
"SLC30A4_WAT","SLC30A4","WAT",0,1,0,3,2,2,0,1,3,2
"SLC30A5_HEART","SLC30A5","HEART",1,2,1,2,1,5,1,3,1,1
"SLC30A5_KIDNEY-CORTEX","SLC30A5","KIDNEY-CORTEX",1,5,2,5,4,5,1,7,2,3
"SLC30A5_KIDNEY-MED","SLC30A5","KIDNEY-MED",1,1,1,2,NA,2,1,1,1,11
"SLC30A5_LARGE","SLC30A5","LARGE",1,4,1,1,1,4,1,2,1,1
"SLC30A5_LIVER","SLC30A5","LIVER",0,1,0,1,5,2,0,1,1,4
"SLC30A5_LUNG","SLC30A5","LUNG",0,9,1,1,2,8,1,3,2,1
"SLC30A5_MUSCLE","SLC30A5","MUSCLE",0,3,1,1,1,3,1,7,1,5
"SLC30A5_SKIN","SLC30A5","SKIN",0,2,1,2,1,5,1,3,3,1
"SLC30A5_SMALL","SLC30A5","SMALL",0,1,0,1,2,2,1,1,2,2
"SLC30A5_SPLEEN","SLC30A5","SPLEEN",1,5,0,11,1,2,2,1,1,2
"SLC30A5_WAT","SLC30A5","WAT",0,1,0,5,3,2,0,1,3,3
"SLC30A6_HEART","SLC30A6","HEART",1,1,0,1,1,2,0,1,1,1
"SLC30A6_KIDNEY-CORTEX","SLC30A6","KIDNEY-CORTEX",0,3,1,3,2,1,1,5,1,1
"SLC30A6_KIDNEY-MED","SLC30A6","KIDNEY-MED",0,1,1,1,NA,1,0,1,1,6
"SLC30A6_LARGE","SLC30A6","LARGE",1,4,1,1,1,3,1,1,1,1
"SLC30A6_LIVER","SLC30A6","LIVER",0,1,0,1,0,1,1,1,1,3
"SLC30A6_LUNG","SLC30A6","LUNG",0,4,0,1,1,4,1,2,1,1
"SLC30A6_MUSCLE","SLC30A6","MUSCLE",0,2,1,2,0,2,0,3,1,1
"SLC30A6_SKIN","SLC30A6","SKIN",0,1,1,1,1,2,1,2,2,1
"SLC30A6_SMALL","SLC30A6","SMALL",0,1,0,1,1,2,1,1,1,1
"SLC30A6_SPLEEN","SLC30A6","SPLEEN",0,1,0,5,1,1,1,1,1,2
"SLC30A6_WAT","SLC30A6","WAT",0,1,0,3,2,2,0,1,3,3
"SLC30A7_HEART","SLC30A7","HEART",1,3,0,2,1,5,1,2,0,1
"SLC30A7_KIDNEY-CORTEX","SLC30A7","KIDNEY-CORTEX",0,3,2,4,3,3,1,6,2,3
"SLC30A7_KIDNEY-MED","SLC30A7","KIDNEY-MED",1,1,1,1,NA,1,1,1,1,8
"SLC30A7_LARGE","SLC30A7","LARGE",1,3,1,1,1,4,1,1,1,1
"SLC30A7_LIVER","SLC30A7","LIVER",0,2,0,1,2,2,1,3,1,1
"SLC30A7_LUNG","SLC30A7","LUNG",0,7,0,2,2,6,1,3,1,1
"SLC30A7_MUSCLE","SLC30A7","MUSCLE",0,4,1,3,0,2,1,5,1,4
"SLC30A7_SKIN","SLC30A7","SKIN",0,1,0,2,1,2,0,4,2,2
"SLC30A7_SMALL","SLC30A7","SMALL",0,1,0,1,1,2,1,2,1,1
"SLC30A7_SPLEEN","SLC30A7","SPLEEN",1,3,0,8,1,1,1,1,1,3
"SLC30A7_WAT","SLC30A7","WAT",0,1,0,4,2,1,0,1,3,3
"SLC30A9_HEART","SLC30A9","HEART",1,2,1,3,1,4,1,3,1,1
"SLC30A9_KIDNEY-CORTEX","SLC30A9","KIDNEY-CORTEX",1,6,2,4,3,3,1,8,2,4
"SLC30A9_KIDNEY-MED","SLC30A9","KIDNEY-MED",1,1,1,1,NA,2,1,1,1,13
"SLC30A9_LARGE","SLC30A9","LARGE",1,5,1,1,1,6,1,1,1,1
"SLC30A9_LIVER","SLC30A9","LIVER",0,1,0,1,2,1,2,1,1,5
"SLC30A9_LUNG","SLC30A9","LUNG",0,9,1,2,2,8,1,4,2,1
"SLC30A9_MUSCLE","SLC30A9","MUSCLE",0,4,1,2,1,3,1,7,1,4
"SLC30A9_SKIN","SLC30A9","SKIN",0,2,1,2,1,4,1,2,3,1
"SLC30A9_SMALL","SLC30A9","SMALL",0,1,0,1,2,3,0,1,2,2
"SLC30A9_SPLEEN","SLC30A9","SPLEEN",1,4,0,10,1,1,1,1,1,1
"SLC30A9_WAT","SLC30A9","WAT",0,1,0,6,3,2,0,1,3,6
"SLC31A1_HEART","SLC31A1","HEART",1,3,0,2,1,5,1,5,1,1
"SLC31A1_KIDNEY-CORTEX","SLC31A1","KIDNEY-CORTEX",1,13,2,6,6,2,1,10,1,4
"SLC31A1_KIDNEY-MED","SLC31A1","KIDNEY-MED",1,1,1,1,NA,2,1,1,1,20
"SLC31A1_LARGE","SLC31A1","LARGE",1,7,1,1,1,9,1,2,1,1
"SLC31A1_LIVER","SLC31A1","LIVER",0,1,0,1,10,3,1,4,1,3
"SLC31A1_LUNG","SLC31A1","LUNG",0,13,1,3,2,8,0,3,1,1
"SLC31A1_MUSCLE","SLC31A1","MUSCLE",0,3,1,4,0,2,1,12,1,9
"SLC31A1_SKIN","SLC31A1","SKIN",0,2,0,2,1,8,1,4,2,2
"SLC31A1_SMALL","SLC31A1","SMALL",0,2,0,2,3,2,1,2,1,3
"SLC31A1_SPLEEN","SLC31A1","SPLEEN",0,3,0,10,1,1,2,1,1,2
"SLC31A1_WAT","SLC31A1","WAT",0,1,0,10,4,4,0,1,3,2
"SLC31A2_HEART","SLC31A2","HEART",1,2,1,1,1,3,1,1,1,1
"SLC31A2_KIDNEY-CORTEX","SLC31A2","KIDNEY-CORTEX",1,5,2,2,3,2,0,3,1,3
"SLC31A2_KIDNEY-MED","SLC31A2","KIDNEY-MED",1,1,2,2,NA,1,1,1,1,8
"SLC31A2_LARGE","SLC31A2","LARGE",1,3,1,1,1,5,1,1,1,1
"SLC31A2_LIVER","SLC31A2","LIVER",3,1,3,1,0,1,0,1,1,2
"SLC31A2_LUNG","SLC31A2","LUNG",3,5,1,1,1,2,1,2,0,1
"SLC31A2_MUSCLE","SLC31A2","MUSCLE",2,3,1,1,1,2,1,6,1,1
"SLC31A2_SKIN","SLC31A2","SKIN",1,1,1,2,1,2,1,2,1,1
"SLC31A2_SMALL","SLC31A2","SMALL",1,1,1,1,2,1,1,1,1,1
"SLC31A2_SPLEEN","SLC31A2","SPLEEN",1,2,3,5,1,1,2,1,1,2
"SLC31A2_WAT","SLC31A2","WAT",2,1,2,4,3,1,1,1,2,2
"SLC33A1_HEART","SLC33A1","HEART",1,4,0,2,1,5,1,3,1,1
"SLC33A1_KIDNEY-CORTEX","SLC33A1","KIDNEY-CORTEX",0,5,2,4,3,4,1,6,2,2
"SLC33A1_KIDNEY-MED","SLC33A1","KIDNEY-MED",1,1,1,1,NA,2,1,1,1,9
"SLC33A1_LARGE","SLC33A1","LARGE",1,4,1,1,1,5,1,1,1,1
"SLC33A1_LIVER","SLC33A1","LIVER",0,1,0,1,6,1,1,3,1,4
"SLC33A1_LUNG","SLC33A1","LUNG",0,8,0,1,2,6,1,3,2,1
"SLC33A1_MUSCLE","SLC33A1","MUSCLE",0,3,1,3,0,2,1,6,2,5
"SLC33A1_SKIN","SLC33A1","SKIN",0,1,1,2,2,3,1,4,2,1
"SLC33A1_SMALL","SLC33A1","SMALL",1,1,0,2,2,1,1,2,1,2
"SLC33A1_SPLEEN","SLC33A1","SPLEEN",0,3,0,7,1,1,1,1,1,2
"SLC33A1_WAT","SLC33A1","WAT",0,1,0,6,3,2,0,1,3,4
"SLC34A1_HEART","SLC34A1","HEART",0,1,0,1,1,0,1,0,0,1
"SLC34A1_KIDNEY-CORTEX","SLC34A1","KIDNEY-CORTEX",0,58,0,10,17,0,0,0,0,1
"SLC34A1_KIDNEY-MED","SLC34A1","KIDNEY-MED",0,1,1,1,NA,5,0,1,1,76
"SLC34A1_LARGE","SLC34A1","LARGE",1,1,1,1,1,38,2,1,1,1
"SLC34A1_LIVER","SLC34A1","LIVER",0,1,0,1,0,1,0,1,1,1
"SLC34A1_LUNG","SLC34A1","LUNG",0,60,0,1,0,1,0,0,0,1
"SLC34A1_MUSCLE","SLC34A1","MUSCLE",0,1,1,1,0,1,4,56,0,1
"SLC34A1_SKIN","SLC34A1","SKIN",0,1,0,1,1,47,1,1,1,1
"SLC34A1_SMALL","SLC34A1","SMALL",1,1,0,1,8,1,0,1,0,11
"SLC34A1_SPLEEN","SLC34A1","SPLEEN",0,1,0,2,1,1,4,1,2,1
"SLC34A1_WAT","SLC34A1","WAT",0,1,0,48,11,1,0,1,1,1
"SLC34A2_HEART","SLC34A2","HEART",2,17,0,1,1,0,0,0,1,1
"SLC34A2_KIDNEY-CORTEX","SLC34A2","KIDNEY-CORTEX",0,2,0,1,3,0,0,1,0,26
"SLC34A2_KIDNEY-MED","SLC34A2","KIDNEY-MED",0,1,1,1,NA,0,0,1,1,1
"SLC34A2_LARGE","SLC34A2","LARGE",1,1,1,1,1,0,0,1,1,1
"SLC34A2_LIVER","SLC34A2","LIVER",0,4,0,1,0,1,0,1,1,4
"SLC34A2_LUNG","SLC34A2","LUNG",0,0,0,1,0,0,0,21,1,1
"SLC34A2_MUSCLE","SLC34A2","MUSCLE",0,1,1,1,0,23,1,0,1,1
"SLC34A2_SKIN","SLC34A2","SKIN",0,1,0,24,0,1,0,1,1,1
"SLC34A2_SMALL","SLC34A2","SMALL",0,1,0,1,0,1,0,1,1,1
"SLC34A2_SPLEEN","SLC34A2","SPLEEN",3,1,0,0,1,1,1,1,0,1
"SLC34A2_WAT","SLC34A2","WAT",0,1,0,2,1,1,0,1,0,1
"SLC34A3_HEART","SLC34A3","HEART",1,1,0,3,1,1,0,1,0,1
"SLC34A3_KIDNEY-CORTEX","SLC34A3","KIDNEY-CORTEX",0,18,0,3,7,1,1,2,1,2
"SLC34A3_KIDNEY-MED","SLC34A3","KIDNEY-MED",1,1,1,1,NA,1,1,1,1,25
